0	1	1	30
1	1	31	76
2	1	77	120
3	1	121	154
4	1	155	200
5	1	201	238
6	1	239	285
7	1	286	343
8	1	344	378
9	1	379	451
10	1	452	481
11	1	482	536
12	1	537	579
13	1	580	614
14	1	615	652
15	1	653	683
16	1	684	728
17	1	729	766
18	1	767	796
19	1	797	826
20	1	827	856
21	1	857	886
22	1	887	916
23	1	917	946
24	1	947	976
25	2	977	1006
26	2	1007	1033
27	2	1034	1055
28	2	1056	1079
29	2	1080	1105
30	2	1106	1131
31	2	1132	1181
32	2	1182	1234
33	2	1235	1265
34	2	1266	1294
35	2	1295	1327
36	2	1328	1357
37	2	1358	1387
38	2	1388	1419
39	2	1420	1456
40	2	1457	1505
41	2	1506	1547
42	2	1548	1584
43	2	1585	1631
44	2	1632	1661
45	2	1662	1691
46	2	1692	1721
47	2	1722	1758
48	2	1759	1787
49	2	1788	1821
50	2	1822	1843
51	3	1844	1873
52	3	1874	1904
53	3	1905	1926
54	3	1927	1951
55	3	1952	1982
56	3	1983	2025
57	3	2026	2055
58	3	2056	2094
59	3	2095	2144
60	3	2145	2183
61	3	2184	2226
62	3	2227	2256
63	3	2257	2302
64	3	2303	2346
65	3	2347	2390
66	3	2391	2434
67	3	2435	2481
68	3	2482	2515
69	3	2516	2564
70	3	2565	2612
71	3	2613	2642
72	3	2643	2672
73	3	2673	2702
74	3	2703	2732
75	3	2733	2770
76	3	2771	2804
77	3	2805	2831
78	4	2832	2861
79	4	2862	2892
80	4	2893	2915
81	4	2916	2958
82	4	2959	2984
83	4	2985	3015
84	4	3016	3046
85	4	3047	3078
86	4	3079	3101
87	4	3102	3135
88	4	3136	3173
89	4	3174	3203
90	4	3204	3240
91	4	3241	3279
92	4	3280	3315
93	4	3316	3352
94	4	3353	3392
95	4	3393	3425
96	4	3426	3457
97	4	3458	3488
98	4	3489	3518
99	4	3519	3548
100	4	3549	3582
101	4	3583	3612
102	4	3613	3642
103	4	3643	3672
104	4	3673	3724
105	5	3725	3754
106	5	3755	3784
107	5	3785	3820
108	5	3821	3848
109	5	3849	3885
110	5	3886	3910
111	5	3911	3942
112	5	3943	3972
113	5	3973	4003
114	5	4004	4040
115	5	4041	4077
116	5	4078	4107
117	5	4108	4138
118	5	4139	4168
119	5	4169	4201
120	5	4202	4231
121	5	4232	4263
122	5	4264	4294
123	5	4295	4326
124	5	4327	4362
125	5	4363	4392
126	5	4393	4422
127	5	4423	4452
128	5	4453	4480
129	5	4481	4505
130	5	4506	4540
131	5	4541	4571
132	5	4572	4601
133	6	4602	4631
134	6	4632	4661
135	6	4662	4694
136	6	4695	4724
137	6	4725	4764
138	6	4765	4798
139	6	4799	4832
140	6	4833	4868
141	6	4869	4892
142	6	4893	4922
143	6	4923	4953
144	6	4954	4983
145	6	4984	5012
146	6	5013	5043
147	6	5044	5071
148	6	5072	5097
149	6	5098	5128
150	6	5129	5152
151	6	5153	5175
152	6	5176	5201
153	6	5202	5226
154	6	5227	5248
155	6	5249	5278
156	6	5279	5306
157	6	5307	5336
158	6	5337	5366
159	6	5367	5393
160	6	5394	5430
161	6	5431	5476
162	6	5477	5517
